"","ID","nLoans","Number_of_Loan","Start","Paid","Duration"
"449",2381042959,15,11,2015-05-20,2015-06-05,16
"450",2381042959,15,12,2015-06-05,2015-06-12,7
"451",2381042959,15,13,2015-06-12,2015-06-23,11
"452",2381042959,15,14,2015-06-23,2015-07-08,15
"453",2398603694,3,1,2015-05-25,2015-06-10,16
"454",2398603694,3,2,2015-06-10,2015-06-13,3
"455",2422995126,2,1,2015-03-23,2015-04-21,29
"456",2422995126,2,2,2015-05-04,2015-07-09,66
"457",2455988976,8,1,2015-05-22,2015-05-26,4
"458",2455988976,8,2,2015-05-29,2015-06-02,4
"459",2455988976,8,3,2015-06-03,2015-06-09,6
"460",2455988976,8,4,2015-06-10,2015-06-17,7
"461",2455988976,8,5,2015-06-25,2015-07-02,7
"462",2455988976,8,6,2015-07-07,2015-07-29,22
"463",2455988976,8,7,2015-07-31,2015-08-09,9
"464",2461249534,1,1,2015-04-17,2015-05-12,25
"465",2487119472,4,1,2015-03-24,2015-04-13,20
"466",2487119472,4,2,2015-04-13,2015-05-04,21
"467",2487119472,4,3,2015-05-11,2015-06-02,22
"468",2515000128,4,1,2014-09-19,2014-10-02,13
"469",2515000128,4,2,2014-10-02,2014-10-13,11
"470",2515000128,4,3,2014-10-13,2014-11-04,22
"471",2516578297,2,1,2015-07-15,2015-07-22,7
"472",2516578297,2,2,2015-07-25,2015-07-31,6
"473",2524200246,5,1,2014-08-01,2014-08-20,19
"474",2524200246,5,2,2014-08-20,2014-09-10,21
"475",2524200246,5,3,2014-09-11,2014-10-02,21
"476",2524200246,5,4,2014-10-02,2014-10-29,27
"477",2528750026,6,1,2014-05-24,2014-06-04,11
"478",2528750026,6,2,2014-06-12,2014-07-05,23
"479",2528750026,6,3,2014-07-08,2014-07-25,17
"480",2528750026,6,4,2014-07-25,2014-09-19,56
"481",2528750026,6,5,2014-09-20,2014-11-25,66
"482",2534163140,3,1,2015-06-27,2015-07-25,28
"483",2534163140,3,2,2015-07-25,2015-08-19,25
"484",2535886983,2,1,2015-07-16,2015-07-25,9
"485",2552675755,19,1,2014-09-26,2014-10-15,19
"486",2552675755,19,2,2014-10-15,2014-11-04,20
"487",2552675755,19,3,2014-11-04,2014-11-19,15
"488",2552675755,19,4,2014-11-19,2014-12-04,15
"489",2552675755,19,5,2014-12-09,2014-12-23,14
"490",2552675755,19,6,2014-12-23,2015-01-09,17
"491",2552675755,19,7,2015-01-09,2015-01-24,15
"492",2552675755,19,8,2015-01-24,2015-02-15,22
"493",2552675755,19,9,2015-02-16,2015-02-25,9
